"group","Date","mean","max","min","sd","cv","n","site","category","method","length"
0,2008-07-11,25.3376811594203,26.5666666666667,24.1666666666667,NA,NA,NA,NA,"7&Under","imputeTS",7
0,2008-07-12,25.3376811594203,26.5666666666667,24.1666666666667,NA,NA,NA,NA,"7&Under","imputeTS",7
0,2008-07-13,25.1715838509317,26.4285714285714,24.0571428571429,NA,NA,NA,NA,"7&Under","imputeTS",7
0,2008-07-14,24.9890338164251,26.2133333333333,23.8933333333333,NA,NA,NA,NA,"7&Under","imputeTS",7
0,2008-07-15,24.9232585320243,26.1838709677419,23.8032258064516,NA,NA,NA,NA,"7&Under","imputeTS",7
0,2008-07-16,24.9133655394525,26.1873015873016,23.7888888888889,NA,NA,NA,NA,"7&Under","imputeTS",7
0,2008-07-17,24.9105043934726,26.1905511811024,23.7850393700787,NA,NA,NA,NA,"7&Under","imputeTS",7
NA,2008-07-18,25.3565217391304,26.8,24.1,1.06933542954003,4.21720076807626,23,"LIS","data","Pien_2020",NA
NA,2008-07-19,25.3,26.1,24.3,0.605769363486741,2.39434531022427,24,"LIS","data","Pien_2020",NA
NA,2008-07-20,24.175,25.6,23.4,0.540732192816209,2.23674123191813,24,"LIS","data","Pien_2020",NA
NA,2008-07-21,22.4333333333333,23.2,21.6,0.424946714477153,1.89426470049251,24,"LIS","data","Pien_2020",NA
NA,2008-07-22,22.95,25.3,21.1,1.43466402672027,6.25125937568745,24,"LIS","data","Pien_2020",NA
NA,2008-07-23,24.3,26.4,22.9,1.1217222782691,4.6161410628358,24,"LIS","data","Pien_2020",NA
NA,2008-07-24,24.55,26.6,23.3,1.15946014424255,4.72285191137495,24,"LIS","data","Pien_2020",NA
NA,2008-07-25,24.6375,26.4,23.8,1.05616718867553,4.28682775718127,24,"LIS","data","Pien_2020",NA
NA,2008-07-26,25.0916666666667,27.5,23.9,1.32399811725423,5.27664477152136,24,"LIS","data","Pien_2020",NA
NA,2008-07-27,24.2916666666667,25.2,23.3,0.620600457247843,2.55478747409061,24,"LIS","data","Pien_2020",NA
NA,2008-07-28,23.8541666666667,25.4,22.8,0.80756163671973,3.38541122817005,24,"LIS","data","Pien_2020",NA
NA,2008-07-29,23.7,24.8,22.8,0.634514535414417,2.67727652073594,24,"LIS","data","Pien_2020",NA
NA,2008-07-30,24.2708333333333,26.2,22.9,1.12190798920049,4.62245351773592,24,"LIS","data","Pien_2020",NA
NA,2008-07-31,24.1708333333333,25.2,23.2,0.672101937575509,2.78063204651133,24,"LIS","data","Pien_2020",NA
NA,2008-08-01,24.3791666666667,26.1,23.2,0.93156211334215,3.82114009916452,24,"LIS","data","Pien_2020",NA
NA,2008-08-02,25.075,26.4,23.8,0.95973275265656,3.82744866463234,24,"LIS","data","Pien_2020",NA
NA,2008-08-03,24.6458333333333,25.6,23.6,0.664620955502272,2.69668688623069,24,"LIS","data","Pien_2020",NA
NA,2008-08-04,24.2583333333333,25.4,23.1,0.746537902975937,3.07744927368988,24,"LIS","data","Pien_2020",NA
NA,2008-08-05,24.1583333333333,25.1,23.1,0.605709549182621,2.507248910035,24,"LIS","data","Pien_2020",NA
NA,2008-08-06,24.1166666666667,25.8,22.8,0.924387772324574,3.83298316098649,24,"LIS","data","Pien_2020",NA
