"date","group","mean","max","min","sd","cv","n","method","category","site","length"
1998-01-16,0,9.48666666666667,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,7
1998-01-17,0,9.48666666666667,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,7
1998-01-18,0,9.51428571428571,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,7
1998-01-19,0,9.52533333333333,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,7
1998-01-20,0,9.52533333333333,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,7
1998-01-21,0,9.52533333333333,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,7
1998-01-22,0,9.52533333333333,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,7
1998-01-23,NA,9.52,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-01-24,NA,9.42,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-01-25,NA,9.68,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-01-26,NA,9.68,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-01-27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-01-28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-01-29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-01-30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-01-31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-03,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-04,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-02-28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-03,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-04,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
1998-03-26,NA,12.83,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-03-27,NA,12.36,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-03-28,NA,11.94,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-03-29,NA,11.54,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-03-30,2,11.5900546448087,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,2
1998-03-31,2,11.3485026737968,NA,NA,NA,NA,NA,"imputeTS","7&Under",NA,2
1998-04-01,NA,11.01,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-02,NA,11.21,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-03,NA,11.2,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-04,NA,11.05,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-05,NA,11.41,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-06,NA,11.64,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-07,NA,11.77,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-08,NA,11.96,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-09,NA,12.35,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-10,NA,12.67,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-11,NA,12.75,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-12,NA,12.36,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-13,NA,12.14,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-14,NA,11.96,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
1998-04-15,NA,11.84,NA,NA,NA,NA,1,"daily_mean","data","shw_harbor",NA
