Date,Time,Temp.F,Temp.C
2010/12/27,10:00:00 AM,51.54,10.86
2010/12/27,10:15:00 AM,51.28,10.71
2010/12/27,10:30:00 AM,51.94,11.08
2010/12/27,10:45:00 AM,50.84,10.47
2010/12/27,11:00:00 AM,50.31,10.17
2010/12/27,11:15:00 AM,49.96,9.98
2010/12/27,11:30:00 AM,49.78,9.88
2010/12/27,11:45:00 AM,49.69,9.83
2010/12/27,12:00:00 PM,49.6,9.78
2010/12/27,12:15:00 PM,49.69,9.83
2010/12/27,12:30:00 PM,56.77,13.76
2010/12/27,12:45:00 PM,50.84,10.47
2010/12/27,1:00:00 PM,50.62,10.35
2010/12/27,1:15:00 PM,50.66,10.37
2010/12/27,1:30:00 PM,50.66,10.37
2010/12/27,1:45:00 PM,50.71,10.39
2010/12/27,2:00:00 PM,50.71,10.39
2010/12/27,2:15:00 PM,50.75,10.42
2010/12/27,2:30:00 PM,50.75,10.42
2010/12/27,2:45:00 PM,50.75,10.42
2010/12/27,3:00:00 PM,50.75,10.42
2010/12/27,3:15:00 PM,50.75,10.42
2010/12/27,3:30:00 PM,50.75,10.42
2010/12/27,3:45:00 PM,50.75,10.42
2010/12/27,4:00:00 PM,50.71,10.39
2010/12/27,4:15:00 PM,50.71,10.39
2010/12/27,4:30:00 PM,50.66,10.37
2010/12/27,4:45:00 PM,50.66,10.37
2010/12/27,5:00:00 PM,50.62,10.35
2010/12/27,5:15:00 PM,50.62,10.35
2010/12/27,5:30:00 PM,50.58,10.32
2010/12/27,5:45:00 PM,50.58,10.32
2010/12/27,6:00:00 PM,50.58,10.32
2010/12/27,6:15:00 PM,50.58,10.32
2010/12/27,6:30:00 PM,50.53,10.3
2010/12/27,6:45:00 PM,50.53,10.3
2010/12/27,7:00:00 PM,50.53,10.3
2010/12/27,7:15:00 PM,50.53,10.3
2010/12/27,7:30:00 PM,50.53,10.3
2010/12/27,7:45:00 PM,50.53,10.3
2010/12/27,8:00:00 PM,50.53,10.3
2010/12/27,8:15:00 PM,50.53,10.3
2010/12/27,8:30:00 PM,50.53,10.3
2010/12/27,8:45:00 PM,50.53,10.3
2010/12/27,9:00:00 PM,50.58,10.32
2010/12/27,9:15:00 PM,50.58,10.32
2010/12/27,9:30:00 PM,50.58,10.32
2010/12/27,9:45:00 PM,50.58,10.32
2010/12/27,10:00:00 PM,50.58,10.32
2010/12/27,10:15:00 PM,50.58,10.32
2010/12/27,10:30:00 PM,50.58,10.32
2010/12/27,10:45:00 PM,50.58,10.32
2010/12/27,11:00:00 PM,50.58,10.32
2010/12/27,11:15:00 PM,50.62,10.35
2010/12/27,11:30:00 PM,50.62,10.35
2010/12/27,11:45:00 PM,50.62,10.35
2010/12/28,12:00:00 AM,50.62,10.35
2010/12/28,12:15:00 AM,50.66,10.37
2010/12/28,12:30:00 AM,50.66,10.37
2010/12/28,12:45:00 AM,50.66,10.37
2010/12/28,1:00:00 AM,50.66,10.37
2010/12/28,1:15:00 AM,50.66,10.37
2010/12/28,1:30:00 AM,50.66,10.37
2010/12/28,1:45:00 AM,50.66,10.37
2010/12/28,2:00:00 AM,50.66,10.37
2010/12/28,2:15:00 AM,50.66,10.37
2010/12/28,2:30:00 AM,50.66,10.37
2010/12/28,2:45:00 AM,50.66,10.37
2010/12/28,3:00:00 AM,50.66,10.37
2010/12/28,3:15:00 AM,50.66,10.37
2010/12/28,3:30:00 AM,50.62,10.35
2010/12/28,3:45:00 AM,50.62,10.35
2010/12/28,4:00:00 AM,50.58,10.32
2010/12/28,4:15:00 AM,50.58,10.32
2010/12/28,4:30:00 AM,50.53,10.3
2010/12/28,4:45:00 AM,50.49,10.27
2010/12/28,5:00:00 AM,50.49,10.27
2010/12/28,5:15:00 AM,50.45,10.25
2010/12/28,5:30:00 AM,50.4,10.22
2010/12/28,5:45:00 AM,50.4,10.22
2010/12/28,6:00:00 AM,50.36,10.2
2010/12/28,6:15:00 AM,50.31,10.17
2010/12/28,6:30:00 AM,50.31,10.17
2010/12/28,6:45:00 AM,50.27,10.15
2010/12/28,7:00:00 AM,50.27,10.15
2010/12/28,7:15:00 AM,50.22,10.12
2010/12/28,7:30:00 AM,50.22,10.12
2010/12/28,7:45:00 AM,50.22,10.12
2010/12/28,8:00:00 AM,50.22,10.12
2010/12/28,8:15:00 AM,50.22,10.12
2010/12/28,8:30:00 AM,50.18,10.1
2010/12/28,8:45:00 AM,50.18,10.1
2010/12/28,9:00:00 AM,50.18,10.1
2010/12/28,9:15:00 AM,50.18,10.1
2010/12/28,9:30:00 AM,50.18,10.1
2010/12/28,9:45:00 AM,50.22,10.12
2010/12/28,10:00:00 AM,50.22,10.12
2010/12/28,10:15:00 AM,50.22,10.12
2010/12/28,10:30:00 AM,50.22,10.12
2010/12/28,10:45:00 AM,50.27,10.15
2010/12/28,11:00:00 AM,50.27,10.15
2010/12/28,11:15:00 AM,50.27,10.15
2010/12/28,11:30:00 AM,50.31,10.17
2010/12/28,11:45:00 AM,50.31,10.17
2010/12/28,12:00:00 PM,50.31,10.17
2010/12/28,12:15:00 PM,50.36,10.2
2010/12/28,12:30:00 PM,50.36,10.2
2010/12/28,12:45:00 PM,50.36,10.2
2010/12/28,1:00:00 PM,50.4,10.22
2010/12/28,1:15:00 PM,50.4,10.22
2010/12/28,1:30:00 PM,50.4,10.22
2010/12/28,1:45:00 PM,50.45,10.25
2010/12/28,2:00:00 PM,50.45,10.25
2010/12/28,2:15:00 PM,50.49,10.27
2010/12/28,2:30:00 PM,50.49,10.27
2010/12/28,2:45:00 PM,50.49,10.27
2010/12/28,3:00:00 PM,50.49,10.27
2010/12/28,3:15:00 PM,50.49,10.27
2010/12/28,3:30:00 PM,50.49,10.27
2010/12/28,3:45:00 PM,50.49,10.27
2010/12/28,4:00:00 PM,50.49,10.27
2010/12/28,4:15:00 PM,50.49,10.27
2010/12/28,4:30:00 PM,50.49,10.27
2010/12/28,4:45:00 PM,50.49,10.27
2010/12/28,5:00:00 PM,50.45,10.25
2010/12/28,5:15:00 PM,50.45,10.25
2010/12/28,5:30:00 PM,50.45,10.25
2010/12/28,5:45:00 PM,50.4,10.22
2010/12/28,6:00:00 PM,50.4,10.22
2010/12/28,6:15:00 PM,50.36,10.2
2010/12/28,6:30:00 PM,50.36,10.2
2010/12/28,6:45:00 PM,50.31,10.17
2010/12/28,7:00:00 PM,50.31,10.17
2010/12/28,7:15:00 PM,50.27,10.15
2010/12/28,7:30:00 PM,50.27,10.15
2010/12/28,7:45:00 PM,50.27,10.15
2010/12/28,8:00:00 PM,50.22,10.12
2010/12/28,8:15:00 PM,50.22,10.12
2010/12/28,8:30:00 PM,50.22,10.12
2010/12/28,8:45:00 PM,50.22,10.12
2010/12/28,9:00:00 PM,50.22,10.12
2010/12/28,9:15:00 PM,50.22,10.12
2010/12/28,9:30:00 PM,50.22,10.12
2010/12/28,9:45:00 PM,50.18,10.1
2010/12/28,10:00:00 PM,50.18,10.1
2010/12/28,10:15:00 PM,50.18,10.1
2010/12/28,10:30:00 PM,50.18,10.1
2010/12/28,10:45:00 PM,50.18,10.1
2010/12/28,11:00:00 PM,50.18,10.1
2010/12/28,11:15:00 PM,50.18,10.1
2010/12/28,11:30:00 PM,50.18,10.1
2010/12/28,11:45:00 PM,50.14,10.08
2010/12/29,12:00:00 AM,50.14,10.08
2010/12/29,12:15:00 AM,50.14,10.08
2010/12/29,12:30:00 AM,50.14,10.08
2010/12/29,12:45:00 AM,50.14,10.08
2010/12/29,1:00:00 AM,50.14,10.08
2010/12/29,1:15:00 AM,50.14,10.08
2010/12/29,1:30:00 AM,50.14,10.08
2010/12/29,1:45:00 AM,50.14,10.08
2010/12/29,2:00:00 AM,50.14,10.08
2010/12/29,2:15:00 AM,50.09,10.05
2010/12/29,2:30:00 AM,50.14,10.08
2010/12/29,2:45:00 AM,50.14,10.08
2010/12/29,3:00:00 AM,50.09,10.05
2010/12/29,3:15:00 AM,50.09,10.05
2010/12/29,3:30:00 AM,50.09,10.05
2010/12/29,3:45:00 AM,50.09,10.05
2010/12/29,4:00:00 AM,50.09,10.05
2010/12/29,4:15:00 AM,50.09,10.05
2010/12/29,4:30:00 AM,50.09,10.05
2010/12/29,4:45:00 AM,50.09,10.05
2010/12/29,5:00:00 AM,50.09,10.05
2010/12/29,5:15:00 AM,50.05,10.03
2010/12/29,5:30:00 AM,50.05,10.03
2010/12/29,5:45:00 AM,50,10
2010/12/29,6:00:00 AM,50,10
2010/12/29,6:15:00 AM,49.96,9.98
2010/12/29,6:30:00 AM,49.91,9.95
2010/12/29,6:45:00 AM,49.87,9.93
2010/12/29,7:00:00 AM,49.87,9.93
2010/12/29,7:15:00 AM,49.87,9.93
2010/12/29,7:30:00 AM,49.83,9.9
2010/12/29,7:45:00 AM,49.83,9.9
2010/12/29,8:00:00 AM,49.78,9.88
2010/12/29,8:15:00 AM,49.78,9.88
2010/12/29,8:30:00 AM,49.78,9.88
2010/12/29,8:45:00 AM,49.78,9.88
2010/12/29,9:00:00 AM,49.78,9.88
2010/12/29,9:15:00 AM,49.78,9.88
2010/12/29,9:30:00 AM,49.78,9.88
2010/12/29,9:45:00 AM,49.78,9.88
2010/12/29,10:00:00 AM,49.83,9.9
2010/12/29,10:15:00 AM,49.83,9.9
2010/12/29,10:30:00 AM,49.87,9.93
2010/12/29,10:45:00 AM,49.87,9.93
2010/12/29,11:00:00 AM,49.91,9.95
2010/12/29,11:15:00 AM,49.91,9.95
2010/12/29,11:30:00 AM,49.96,9.98
2010/12/29,11:45:00 AM,49.96,9.98
