#,Date ,GMT-08:00,"Temp, °F","Batt, V (LGR S/N: 2290855, SEN S/N: 2290855)"
1,2015/1/16,8:45:00 AM,51.105,3.51
2,2015/1/16,9:00:00 AM,50.929,3.51
3,2015/1/16,9:15:00 AM,50.929,3.51
4,2015/1/16,9:30:00 AM,50.929,3.51
5,2015/1/16,9:45:00 AM,50.929,3.51
6,2015/1/16,10:00:00 AM,50.929,3.51
7,2015/1/16,10:15:00 AM,50.929,3.48
8,2015/1/16,10:30:00 AM,50.929,3.54
9,2015/1/16,10:45:00 AM,50.929,3.54
10,2015/1/16,11:00:00 AM,50.929,3.54
11,2015/1/16,11:15:00 AM,50.886,3.54
12,2015/1/16,11:30:00 AM,50.797,3.54
13,2015/1/16,11:45:00 AM,50.752,3.54
14,2015/1/16,12:00:00 PM,50.664,3.54
15,2015/1/16,12:15:00 PM,50.576,3.54
16,2015/1/16,12:30:00 PM,50.488,3.54
17,2015/1/16,12:45:00 PM,50.4,3.54
18,2015/1/16,1:00:00 PM,50.356,3.54
19,2015/1/16,1:15:00 PM,50.311,3.54
20,2015/1/16,1:30:00 PM,50.311,3.54
21,2015/1/16,1:45:00 PM,50.311,3.54
22,2015/1/16,2:00:00 PM,50.4,3.54
23,2015/1/16,2:15:00 PM,50.4,3.54
24,2015/1/16,2:30:00 PM,50.445,3.54
25,2015/1/16,2:45:00 PM,50.488,3.54
26,2015/1/16,3:00:00 PM,50.576,3.54
27,2015/1/16,3:15:00 PM,50.709,3.54
28,2015/1/16,3:30:00 PM,50.841,3.54
29,2015/1/16,3:45:00 PM,50.929,3.54
30,2015/1/16,4:00:00 PM,51.017,3.54
31,2015/1/16,4:15:00 PM,51.105,3.54
32,2015/1/16,4:30:00 PM,51.148,3.54
33,2015/1/16,4:45:00 PM,51.193,3.54
34,2015/1/16,5:00:00 PM,51.193,3.54
35,2015/1/16,5:15:00 PM,51.237,3.54
36,2015/1/16,5:30:00 PM,51.237,3.54
37,2015/1/16,5:45:00 PM,51.237,3.54
38,2015/1/16,6:00:00 PM,51.237,3.54
39,2015/1/16,6:15:00 PM,51.193,3.54
40,2015/1/16,6:30:00 PM,51.193,3.54
41,2015/1/16,6:45:00 PM,51.193,3.54
42,2015/1/16,7:00:00 PM,51.148,3.54
43,2015/1/16,7:15:00 PM,51.148,3.54
44,2015/1/16,7:30:00 PM,51.105,3.54
45,2015/1/16,7:45:00 PM,51.105,3.54
46,2015/1/16,8:00:00 PM,51.105,3.54
47,2015/1/16,8:15:00 PM,51.105,3.54
48,2015/1/16,8:30:00 PM,51.105,3.54
49,2015/1/16,8:45:00 PM,51.105,3.54
50,2015/1/16,9:00:00 PM,51.105,3.54
51,2015/1/16,9:15:00 PM,51.105,3.54
52,2015/1/16,9:30:00 PM,51.105,3.54
53,2015/1/16,9:45:00 PM,51.105,3.54
54,2015/1/16,10:00:00 PM,51.105,3.54
55,2015/1/16,10:15:00 PM,51.105,3.54
56,2015/1/16,10:30:00 PM,51.105,3.54
57,2015/1/16,10:45:00 PM,51.105,3.54
58,2015/1/16,11:00:00 PM,51.105,3.54
59,2015/1/16,11:15:00 PM,51.062,3.54
60,2015/1/16,11:30:00 PM,51.062,3.54
61,2015/1/16,11:45:00 PM,51.062,3.54
62,2015/1/17,12:00:00 AM,51.062,3.54
63,2015/1/17,12:15:00 AM,51.062,3.54
64,2015/1/17,12:30:00 AM,51.017,3.54
65,2015/1/17,12:45:00 AM,51.017,3.54
66,2015/1/17,1:00:00 AM,51.017,3.54
67,2015/1/17,1:15:00 AM,51.017,3.54
68,2015/1/17,1:30:00 AM,51.017,3.48
69,2015/1/17,1:45:00 AM,51.017,3.54
70,2015/1/17,2:00:00 AM,51.017,3.54
71,2015/1/17,2:15:00 AM,50.974,3.54
72,2015/1/17,2:30:00 AM,50.929,3.54
73,2015/1/17,2:45:00 AM,50.886,3.54
74,2015/1/17,3:00:00 AM,50.886,3.54
75,2015/1/17,3:15:00 AM,50.886,3.54
76,2015/1/17,3:30:00 AM,50.841,3.54
77,2015/1/17,3:45:00 AM,50.841,3.54
78,2015/1/17,4:00:00 AM,50.841,3.54
79,2015/1/17,4:15:00 AM,50.841,3.54
80,2015/1/17,4:30:00 AM,50.886,3.54
81,2015/1/17,4:45:00 AM,50.886,3.54
82,2015/1/17,5:00:00 AM,50.929,3.54
83,2015/1/17,5:15:00 AM,50.929,3.54
84,2015/1/17,5:30:00 AM,50.974,3.54
85,2015/1/17,5:45:00 AM,50.974,3.54
86,2015/1/17,6:00:00 AM,50.974,3.54
87,2015/1/17,6:15:00 AM,50.974,3.54
88,2015/1/17,6:30:00 AM,50.974,3.54
89,2015/1/17,6:45:00 AM,50.974,3.54
90,2015/1/17,7:00:00 AM,50.974,3.54
91,2015/1/17,7:15:00 AM,50.974,3.54
92,2015/1/17,7:30:00 AM,50.974,3.54
93,2015/1/17,7:45:00 AM,50.974,3.54
94,2015/1/17,8:00:00 AM,50.974,3.54
95,2015/1/17,8:15:00 AM,50.974,3.54
96,2015/1/17,8:30:00 AM,50.974,3.54
97,2015/1/17,8:45:00 AM,50.974,3.54
98,2015/1/17,9:00:00 AM,50.974,3.54
99,2015/1/17,9:15:00 AM,50.974,3.54
100,2015/1/17,9:30:00 AM,50.974,3.54
101,2015/1/17,9:45:00 AM,51.017,3.54
102,2015/1/17,10:00:00 AM,51.017,3.54
103,2015/1/17,10:15:00 AM,51.017,3.54
104,2015/1/17,10:30:00 AM,51.017,3.54
105,2015/1/17,10:45:00 AM,51.062,3.54
106,2015/1/17,11:00:00 AM,51.105,3.54
107,2015/1/17,11:15:00 AM,51.105,3.54
108,2015/1/17,11:30:00 AM,51.105,3.54
109,2015/1/17,11:45:00 AM,51.105,3.54
110,2015/1/17,12:00:00 PM,51.062,3.54
111,2015/1/17,12:15:00 PM,51.017,3.54
112,2015/1/17,12:30:00 PM,51.017,3.54
113,2015/1/17,12:45:00 PM,50.929,3.54
114,2015/1/17,1:00:00 PM,50.886,3.54
115,2015/1/17,1:15:00 PM,50.841,3.54
116,2015/1/17,1:30:00 PM,50.797,3.54
117,2015/1/17,1:45:00 PM,50.752,3.54
118,2015/1/17,2:00:00 PM,50.752,3.54
119,2015/1/17,2:15:00 PM,50.752,3.54
120,2015/1/17,2:30:00 PM,50.752,3.54
121,2015/1/17,2:45:00 PM,50.752,3.54
122,2015/1/17,3:00:00 PM,50.752,3.54
123,2015/1/17,3:15:00 PM,50.752,3.54
124,2015/1/17,3:30:00 PM,50.797,3.54
125,2015/1/17,3:45:00 PM,50.841,3.54
126,2015/1/17,4:00:00 PM,50.886,3.54
127,2015/1/17,4:15:00 PM,50.974,3.54
128,2015/1/17,4:30:00 PM,51.017,3.54
129,2015/1/17,4:45:00 PM,51.105,3.48
130,2015/1/17,5:00:00 PM,51.148,3.54
131,2015/1/17,5:15:00 PM,51.193,3.54
132,2015/1/17,5:30:00 PM,51.193,3.54
133,2015/1/17,5:45:00 PM,51.193,3.54
134,2015/1/17,6:00:00 PM,51.237,3.54
135,2015/1/17,6:15:00 PM,51.237,3.54
136,2015/1/17,6:30:00 PM,51.237,3.54
137,2015/1/17,6:45:00 PM,51.237,3.54
138,2015/1/17,7:00:00 PM,51.237,3.54
139,2015/1/17,7:15:00 PM,51.237,3.54
140,2015/1/17,7:30:00 PM,51.237,3.54
141,2015/1/17,7:45:00 PM,51.193,3.54
142,2015/1/17,8:00:00 PM,51.193,3.54
143,2015/1/17,8:15:00 PM,51.193,3.54
144,2015/1/17,8:30:00 PM,51.193,3.54
145,2015/1/17,8:45:00 PM,51.148,3.54
146,2015/1/17,9:00:00 PM,51.148,3.54
147,2015/1/17,9:15:00 PM,51.148,3.54
148,2015/1/17,9:30:00 PM,51.148,3.54
149,2015/1/17,9:45:00 PM,51.148,3.54
150,2015/1/17,10:00:00 PM,51.148,3.54
151,2015/1/17,10:15:00 PM,51.193,3.54
152,2015/1/17,10:30:00 PM,51.148,3.54
153,2015/1/17,10:45:00 PM,51.193,3.54
154,2015/1/17,11:00:00 PM,51.148,3.54
155,2015/1/17,11:15:00 PM,51.148,3.54
156,2015/1/17,11:30:00 PM,51.148,3.54
157,2015/1/17,11:45:00 PM,51.148,3.54
158,2015/1/18,12:00:00 AM,51.148,3.54
159,2015/1/18,12:15:00 AM,51.148,3.54
160,2015/1/18,12:30:00 AM,51.148,3.54
161,2015/1/18,12:45:00 AM,51.148,3.54
162,2015/1/18,1:00:00 AM,51.148,3.54
163,2015/1/18,1:15:00 AM,51.148,3.54
164,2015/1/18,1:30:00 AM,51.105,3.54
165,2015/1/18,1:45:00 AM,51.105,3.54
166,2015/1/18,2:00:00 AM,51.105,3.54
167,2015/1/18,2:15:00 AM,51.105,3.54
168,2015/1/18,2:30:00 AM,51.105,3.54
169,2015/1/18,2:45:00 AM,51.105,3.54
170,2015/1/18,3:00:00 AM,51.062,3.54
171,2015/1/18,3:15:00 AM,51.062,3.54
172,2015/1/18,3:30:00 AM,51.062,3.54
173,2015/1/18,3:45:00 AM,51.062,3.54
174,2015/1/18,4:00:00 AM,51.017,3.54
175,2015/1/18,4:15:00 AM,51.017,3.54
176,2015/1/18,4:30:00 AM,51.017,3.54
177,2015/1/18,4:45:00 AM,51.017,3.54
178,2015/1/18,5:00:00 AM,51.017,3.54
179,2015/1/18,5:15:00 AM,51.017,3.54
180,2015/1/18,5:30:00 AM,51.017,3.54
181,2015/1/18,5:45:00 AM,51.017,3.54
182,2015/1/18,6:00:00 AM,51.062,3.54
183,2015/1/18,6:15:00 AM,51.062,3.54
184,2015/1/18,6:30:00 AM,51.062,3.54
185,2015/1/18,6:45:00 AM,51.062,3.54
186,2015/1/18,7:00:00 AM,51.062,3.54
187,2015/1/18,7:15:00 AM,51.062,3.54
188,2015/1/18,7:30:00 AM,51.062,3.54
189,2015/1/18,7:45:00 AM,51.062,3.54
190,2015/1/18,8:00:00 AM,51.062,3.48
191,2015/1/18,8:15:00 AM,51.105,3.54
192,2015/1/18,8:30:00 AM,51.062,3.54
193,2015/1/18,8:45:00 AM,51.105,3.54
194,2015/1/18,9:00:00 AM,51.105,3.54
195,2015/1/18,9:15:00 AM,51.105,3.54
196,2015/1/18,9:30:00 AM,51.105,3.54
197,2015/1/18,9:45:00 AM,51.105,3.54
198,2015/1/18,10:00:00 AM,51.105,3.54
199,2015/1/18,10:15:00 AM,51.105,3.54
200,2015/1/18,10:30:00 AM,51.105,3.54
201,2015/1/18,10:45:00 AM,51.105,3.54
202,2015/1/18,11:00:00 AM,51.105,3.54
203,2015/1/18,11:15:00 AM,51.105,3.54
204,2015/1/18,11:30:00 AM,51.105,3.54
205,2015/1/18,11:45:00 AM,51.148,3.54
206,2015/1/18,12:00:00 PM,51.148,3.54
207,2015/1/18,12:15:00 PM,51.148,3.54
208,2015/1/18,12:30:00 PM,51.148,3.54
209,2015/1/18,12:45:00 PM,51.148,3.54
210,2015/1/18,1:00:00 PM,51.148,3.54
211,2015/1/18,1:15:00 PM,51.148,3.54
212,2015/1/18,1:30:00 PM,51.148,3.54
213,2015/1/18,1:45:00 PM,51.105,3.54
214,2015/1/18,2:00:00 PM,51.105,3.54
215,2015/1/18,2:15:00 PM,51.062,3.54
216,2015/1/18,2:30:00 PM,51.062,3.54
217,2015/1/18,2:45:00 PM,51.017,3.54
218,2015/1/18,3:00:00 PM,51.017,3.54
219,2015/1/18,3:15:00 PM,51.017,3.54
220,2015/1/18,3:30:00 PM,51.017,3.54
221,2015/1/18,3:45:00 PM,51.017,3.54
222,2015/1/18,4:00:00 PM,51.017,3.54
223,2015/1/18,4:15:00 PM,51.017,3.54
224,2015/1/18,4:30:00 PM,51.062,3.54
225,2015/1/18,4:45:00 PM,51.105,3.54
226,2015/1/18,5:00:00 PM,51.105,3.54
227,2015/1/18,5:15:00 PM,51.148,3.54
228,2015/1/18,5:30:00 PM,51.193,3.54
229,2015/1/18,5:45:00 PM,51.193,3.54
230,2015/1/18,6:00:00 PM,51.237,3.54
231,2015/1/18,6:15:00 PM,51.282,3.54
232,2015/1/18,6:30:00 PM,51.282,3.54
233,2015/1/18,6:45:00 PM,51.282,3.54
234,2015/1/18,7:00:00 PM,51.282,3.54
235,2015/1/18,7:15:00 PM,51.282,3.54
236,2015/1/18,7:30:00 PM,51.282,3.54
237,2015/1/18,7:45:00 PM,51.325,3.54
238,2015/1/18,8:00:00 PM,51.325,3.54
239,2015/1/18,8:15:00 PM,51.325,3.54
240,2015/1/18,8:30:00 PM,51.325,3.54
241,2015/1/18,8:45:00 PM,51.325,3.54
242,2015/1/18,9:00:00 PM,51.325,3.54
243,2015/1/18,9:15:00 PM,51.325,3.54
244,2015/1/18,9:30:00 PM,51.325,3.54
245,2015/1/18,9:45:00 PM,51.325,3.54
246,2015/1/18,10:00:00 PM,51.325,3.54
247,2015/1/18,10:15:00 PM,51.37,3.54
248,2015/1/18,10:30:00 PM,51.37,3.54
249,2015/1/18,10:45:00 PM,51.37,3.54
250,2015/1/18,11:00:00 PM,51.37,3.54
251,2015/1/18,11:15:00 PM,51.37,3.48
252,2015/1/18,11:30:00 PM,51.37,3.54
253,2015/1/18,11:45:00 PM,51.37,3.54
254,2015/1/19,12:00:00 AM,51.37,3.54
255,2015/1/19,12:15:00 AM,51.37,3.54
256,2015/1/19,12:30:00 AM,51.37,3.54
257,2015/1/19,12:45:00 AM,51.37,3.54
258,2015/1/19,1:00:00 AM,51.37,3.54
259,2015/1/19,1:15:00 AM,51.37,3.54
260,2015/1/19,1:30:00 AM,51.37,3.54
261,2015/1/19,1:45:00 AM,51.37,3.54
262,2015/1/19,2:00:00 AM,51.37,3.54
263,2015/1/19,2:15:00 AM,51.37,3.54
264,2015/1/19,2:30:00 AM,51.37,3.54
265,2015/1/19,2:45:00 AM,51.37,3.54
266,2015/1/19,3:00:00 AM,51.325,3.54
267,2015/1/19,3:15:00 AM,51.325,3.54
268,2015/1/19,3:30:00 AM,51.325,3.54
269,2015/1/19,3:45:00 AM,51.282,3.54
270,2015/1/19,4:00:00 AM,51.282,3.54
271,2015/1/19,4:15:00 AM,51.282,3.54
272,2015/1/19,4:30:00 AM,51.282,3.54
273,2015/1/19,4:45:00 AM,51.282,3.54
274,2015/1/19,5:00:00 AM,51.282,3.54
