Date,Time,Temp.C
2010/1/5,11:15,9.68
2010/1/5,11:30,9.63
2010/1/5,11:45,9.61
2010/1/5,12:00,9.61
2010/1/5,12:15,9.61
2010/1/5,12:30,9.61
2010/1/5,12:45,9.61
2010/1/5,13:00,9.61
2010/1/5,13:15,9.63
2010/1/5,13:30,9.63
2010/1/5,13:45,9.66
2010/1/5,14:00,9.68
2010/1/5,14:15,9.68
2010/1/5,14:30,9.71
2010/1/5,14:45,9.71
2010/1/5,15:00,9.71
2010/1/5,15:15,9.71
2010/1/5,15:30,9.73
2010/1/5,15:45,9.73
2010/1/5,16:00,9.73
2010/1/5,16:15,9.71
2010/1/5,16:30,9.71
2010/1/5,16:45,9.71
2010/1/5,17:00,9.71
2010/1/5,17:15,9.68
2010/1/5,17:30,9.68
2010/1/5,17:45,9.68
2010/1/5,18:00,9.68
2010/1/5,18:15,9.68
2010/1/5,18:30,9.68
2010/1/5,18:45,9.71
2010/1/5,19:00,9.71
2010/1/5,19:15,9.71
2010/1/5,19:30,9.68
2010/1/5,19:45,9.68
2010/1/5,20:00,9.68
2010/1/5,20:15,9.68
2010/1/5,20:30,9.68
2010/1/5,20:45,9.66
2010/1/5,21:00,9.66
2010/1/5,21:15,9.66
2010/1/5,21:30,9.66
2010/1/5,21:45,9.66
2010/1/5,22:00,9.68
2010/1/5,22:15,9.68
2010/1/5,22:30,9.68
2010/1/5,22:45,9.68
2010/1/5,23:00,9.68
2010/1/5,23:15,9.66
2010/1/5,23:30,9.66
2010/1/5,23:45,9.63
2010/1/6,0:00,9.63
2010/1/6,0:15,9.63
2010/1/6,0:30,9.63
2010/1/6,0:45,9.61
2010/1/6,1:00,9.61
2010/1/6,1:15,9.61
2010/1/6,1:30,9.58
2010/1/6,1:45,9.61
2010/1/6,2:00,9.61
2010/1/6,2:15,9.61
2010/1/6,2:30,9.58
2010/1/6,2:45,9.61
2010/1/6,3:00,9.61
2010/1/6,3:15,9.61
2010/1/6,3:30,9.61
2010/1/6,3:45,9.58
2010/1/6,4:00,9.58
2010/1/6,4:15,9.58
2010/1/6,4:30,9.58
2010/1/6,4:45,9.58
2010/1/6,5:00,9.58
2010/1/6,5:15,9.58
2010/1/6,5:30,9.56
2010/1/6,5:45,9.56
2010/1/6,6:00,9.56
2010/1/6,6:15,9.56
2010/1/6,6:30,9.56
2010/1/6,6:45,9.53
2010/1/6,7:00,9.53
2010/1/6,7:15,9.53
2010/1/6,7:30,9.53
2010/1/6,7:45,9.53
2010/1/6,8:00,9.56
2010/1/6,8:15,9.53
2010/1/6,8:30,9.53
2010/1/6,8:45,9.53
2010/1/6,9:00,9.51
2010/1/6,9:15,9.51
2010/1/6,9:30,9.51
2010/1/6,9:45,9.51
2010/1/6,10:00,9.49
2010/1/6,10:15,9.49
2010/1/6,10:30,9.49
2010/1/6,10:45,9.51
2010/1/6,11:00,9.51
2010/1/6,11:15,9.56
2010/1/6,11:30,9.56
2010/1/6,11:45,9.56
2010/1/6,12:00,9.56
2010/1/6,12:30,9.61
2010/1/6,12:45,9.61
2010/1/6,13:00,9.61
2010/1/6,13:15,9.63
2010/1/6,13:30,9.63
2010/1/6,13:45,9.63
2010/1/6,14:00,9.66
2010/1/6,14:15,9.66
2010/1/6,14:30,9.66
2010/1/6,14:45,9.63
2010/1/6,15:00,9.63
2010/1/6,15:15,9.63
2010/1/6,15:30,9.63
2010/1/6,15:45,9.63
2010/1/6,16:00,9.63
2010/1/6,16:15,9.63
2010/1/6,16:30,9.63
2010/1/6,16:45,9.63
2010/1/6,17:00,9.63
2010/1/6,17:15,9.63
2010/1/6,17:30,9.63
2010/1/6,17:45,9.61
2010/1/6,18:00,9.61
2010/1/6,18:15,9.61
2010/1/6,18:30,9.58
2010/1/6,18:45,9.58
2010/1/6,19:00,9.58
2010/1/6,19:15,9.58
2010/1/6,19:30,9.58
2010/1/6,19:45,9.61
2010/1/6,20:00,9.58
2010/1/6,20:15,9.58
2010/1/6,20:30,9.61
2010/1/6,20:45,9.61
2010/1/6,21:00,9.61
2010/1/6,21:15,9.58
2010/1/6,21:30,9.58
2010/1/6,21:45,9.58
2010/1/6,22:00,9.58
2010/1/6,22:15,9.58
2010/1/6,22:30,9.58
2010/1/6,22:45,9.58
2010/1/6,23:00,9.58
2010/1/6,23:15,9.58
2010/1/6,23:30,9.58
2010/1/6,23:45,9.58
2010/1/7,0:00,9.58
2010/1/7,0:15,9.58
2010/1/7,0:30,9.58
2010/1/7,0:45,9.56
2010/1/7,1:00,9.56
2010/1/7,1:15,9.56
2010/1/7,1:30,9.53
2010/1/7,1:45,9.53
2010/1/7,2:00,9.51
2010/1/7,2:15,9.51
2010/1/7,2:30,9.49
2010/1/7,2:45,9.49
2010/1/7,3:00,9.49
2010/1/7,3:15,9.49
2010/1/7,3:30,9.49
2010/1/7,3:45,9.49
2010/1/7,4:00,9.49
2010/1/7,4:15,9.49
2010/1/7,4:30,9.49
2010/1/7,4:45,9.49
2010/1/7,5:00,9.49
2010/1/7,5:15,9.49
2010/1/7,5:30,9.49
2010/1/7,5:45,9.46
2010/1/7,6:00,9.46
2010/1/7,6:15,9.46
2010/1/7,6:30,9.46
2010/1/7,6:45,9.46
2010/1/7,7:00,9.46
2010/1/7,7:15,9.46
2010/1/7,7:30,9.46
2010/1/7,7:45,9.46
2010/1/7,8:00,9.46
2010/1/7,8:15,9.46
2010/1/7,8:30,9.46
2010/1/7,8:45,9.46
2010/1/7,9:00,9.44
2010/1/7,9:15,9.44
2010/1/7,9:30,9.44
2010/1/7,9:45,9.44
2010/1/7,10:00,9.44
2010/1/7,10:15,9.44
2010/1/7,10:30,9.44
2010/1/7,10:45,9.41
2010/1/7,11:00,9.41
2010/1/7,11:15,9.44
2010/1/7,11:30,9.44
2010/1/7,11:45,9.44
2010/1/7,12:00,9.46
2010/1/7,12:15,9.46
2010/1/7,12:30,9.46
2010/1/7,12:45,9.49
2010/1/7,13:00,9.49
2010/1/7,13:15,9.51
2010/1/7,13:30,9.51
2010/1/7,13:45,9.51
2010/1/7,14:00,9.51
2010/1/7,14:15,9.51
2010/1/7,14:30,9.53
2010/1/7,14:45,9.53
2010/1/7,15:00,9.53
2010/1/7,15:15,9.53
2010/1/7,15:30,9.53
2010/1/7,15:45,9.56
2010/1/7,16:00,9.56
2010/1/7,16:15,9.56
2010/1/7,16:30,9.56
2010/1/7,16:45,9.56
2010/1/7,17:00,9.56
2010/1/7,17:15,9.56
2010/1/7,17:30,9.56
2010/1/7,17:45,9.56
2010/1/7,18:00,9.56
2010/1/7,18:15,9.56
2010/1/7,18:30,9.56
2010/1/7,18:45,9.53
2010/1/7,19:00,9.53
2010/1/7,19:15,9.53
2010/1/7,19:30,9.53
2010/1/7,19:45,9.56
2010/1/7,20:00,9.53
2010/1/7,20:15,9.53
2010/1/7,20:30,9.53
2010/1/7,20:45,9.53
2010/1/7,21:00,9.53
2010/1/7,21:15,9.53
2010/1/7,21:30,9.51
2010/1/7,21:45,9.53
2010/1/7,22:00,9.51
